revenue,popularity,budget,vote_average,vote_count
2787965087,150.437577,237000000,7.2,11800
961000000,139.082615,300000000,6.9,4500
880674609,107.37678799999999,245000000,6.3,4466
1084939099,112.31295,250000000,7.6,9106
284139100,43.926995,260000000,6.1,2124
890871626,115.69981399999999,258000000,5.9,3576
591794936,48.681969,260000000,7.4,3330
1405403694,134.27922900000002,280000000,7.3,6767
933959197,98.885637,250000000,7.4,5293
873260194,155.790452,250000000,5.7,7004
391081192,57.925623,270000000,5.4,1400
586090727,107.92881100000001,200000000,6.1,2965
1065659812,145.84737900000002,200000000,7.0,5246
89289910,49.046956,255000000,5.9,2311
662845518,99.398009,225000000,6.5,6359
419651413,53.978602,225000000,6.3,1630
1519557910,144.448633,220000000,7.4,11776
1045713802,135.413856,380000000,6.4,4948
624026776,52.035179,225000000,6.2,4160
956019788,120.96574299999999,250000000,7.1,4760
752215857,89.866276,215000000,6.5,6586
310669540,37.668301,200000000,6.2,1398
958400000,94.370564,250000000,7.6,4524
372234864,42.990906,180000000,5.8,1303
550000000,61.226009999999995,207000000,6.6,2337
1845034188,100.025899,200000000,7.5,7562
1153304495,198.37239499999998,250000000,7.1,7241
303025485,64.928382,209000000,5.5,2114
1513528810,418.708552,150000000,6.5,8662
1108561013,93.004993,200000000,6.9,7604
783766341,35.149586,200000000,6.7,4321
1215439994,77.68208,200000000,6.8,8806
1025491110,78.530105,200000000,6.4,4645
459359555,3.857526,210000000,6.3,3525
743559607,89.186492,200000000,7.0,3528
836297228,21.939663,150000000,6.0,3138
1091405097,116.840296,210000000,5.8,3095
491868548,46.985445,200000000,5.7,3530
705717432,89.270217,200000000,6.5,4179
400062763,73.79505,170000000,6.3,2841
559852396,49.98659,200000000,5.8,2033
219851172,51.872839,200000000,5.1,2487
1066969703,59.99541800000001,200000000,7.6,4597
371353001,71.862892,200000000,5.9,2463
1506249360,102.32221700000001,190000000,7.3,4176
531865000,81.834855,200000000,6.7,5560
747862775,118.07869099999999,250000000,7.5,6032
467365246,78.29101800000001,190000000,7.4,4418
197687603,43.349855,195000000,5.5,2598
351040419,61.196070999999996,105000000,7.3,3769
335154643,62.169881000000004,150000000,6.2,2317
407602906,56.523205000000004,180000000,6.7,4794
1123746996,28.529607000000002,195000000,6.1,3299
786636033,75.674458,185000000,5.7,2495
331926147,51.692953,175000000,6.6,1736
538983207,125.114374,185000000,6.7,4641
343471816,65.352913,185000000,6.6,2568
521311860,66.390712,180000000,7.8,6296
258022233,22.57178,140000000,6.1,783
769653595,45.274225,200000000,5.6,4903
325233863,39.744242,200000000,6.6,1095
183987723,85.36908000000001,176000003,5.2,2768
356743061,42.741719,180000000,5.5,2430
748806957,67.391328,180000000,6.7,2629
543934787,139.272042,178000000,6.4,4721
1004558444,187.322927,185000000,8.2,12002
735099082,92.201962,175000000,7.7,6870
381509870,36.167578000000006,175000000,6.0,1423
585174222,120.725053,140000000,7.4,8776
185770160,32.319043,170000000,7.0,2141
222104681,40.748915000000004,170000000,5.1,1020
401128639,60.034162,145000000,5.2,1387
745000000,90.23791999999999,175000000,5.9,7458
173000000,27.082182,175000000,5.3,1151
370541256,79.456485,178000000,7.6,4858
264218220,44.640291999999995,175000000,5.9,992
302469017,32.852443,175000000,5.6,1962
857611174,128.65596399999998,175000000,8.0,6560
966550600,94.19931600000001,175000000,6.7,2892
623933331,77.30019399999999,200000000,6.6,6849
396600000,77.178973,170000000,5.8,3118
758539785,110.62064699999999,180000000,7.0,4496
710644566,243.79174300000003,170000000,7.3,4410
150962475,41.796339,175000000,5.9,1326
714766572,72.22526500000001,170000000,7.6,5764
752600867,44.041185999999996,165000000,6.0,1959
209154322,130.311355,190000000,6.2,2846
652105443,203.73459,165000000,7.8,6135
471222889,62.341073,165000000,7.1,4570
305875730,47.323228,165000000,6.4,1474
389681935,48.775723,165000000,4.9,2491
494878759,67.263269,165000000,7.5,4227
435000000,69.405188,200000000,5.9,2143
773328629,481.09862400000003,170000000,7.9,9742
675120017,724.247784,165000000,8.1,10867
825532764,167.58371,160000000,8.1,13752
77000000,9.476999000000001,15000000,6.5,143
1021103568,108.849621,250000000,7.0,8297
207283925,6.909942,38000000,6.6,3428
333932083,60.269279000000004,150000000,7.3,3292
353624124,3.195174,160000000,7.1,5181
653428261,127.28442700000001,160000000,6.6,3984
215283742,35.580815,150000000,5.8,1470
181674817,21.133748,160000000,5.5,583
299370084,56.268916000000004,170000000,6.5,1725
798958165,42.986467,160000000,6.0,2278
433677183,63.148529,160000000,6.3,2268
440603537,202.04263500000002,155000000,5.8,3631
415686217,49.661984000000004,155000000,6.2,1514
449220945,34.20669,140000000,6.6,1791
709709780,25.468493,150000000,6.6,4040
167298192,39.019228999999996,155000000,5.6,927
938212738,78.14439499999999,150000000,7.4,5494
895921036,101.250416,150000000,7.5,5608
624029371,56.758410999999995,150000000,6.2,2961
585349010,70.867401,150000000,6.9,4853
474968763,53.905592000000006,150000000,6.7,3624
623722818,65.677399,150000000,7.5,4369
374218673,115.040024,150000000,7.5,7359
603900354,44.141021,150000000,6.2,1810
413106170,81.781591,150000000,5.9,1971
373062864,5.954333999999999,150000000,6.2,4021
424988211,73.313918,150000000,6.4,3096
1274219009,165.12536599999999,150000000,7.3,5295
738599701,70.78591,150000000,6.7,3443
644571402,99.499595,170000000,6.8,4755
378858340,434.27856399999996,150000000,7.2,9427
356613439,67.447636,150000000,6.5,2129
449326618,86.493424,150000000,6.6,6525
309979994,41.845878000000006,150000000,6.3,1750
292817841,26.710397999999998,150000000,5.1,510
301000000,44.927634999999995,150000000,5.5,1431
245527149,50.306728,150000000,5.7,2320
682330139,114.52223700000002,150000000,7.1,3224
287594577,29.332905,150000000,5.7,1171
665692281,51.247321,150000000,6.7,1880
318502923,33.769335999999996,150000000,4.7,1151
397850012,63.079003,150000000,6.5,2028
205366737,39.004588,150000000,6.4,1891
38992758,12.362599000000001,150000000,5.5,199
64459316,22.550135,149000000,6.0,874
128388320,48.03528,150000000,5.9,954
272912430,38.73494,145000000,6.7,843
497409852,66.803149,175000000,6.9,2759
746921274,44.989191999999996,145000000,6.4,1808
431971116,54.159392000000004,140000000,5.8,1092
229147509,66.21806,144000000,5.3,2142
553799566,58.485967,140000000,6.4,2482
441818803,91.332849,140000000,6.0,3114
195735876,35.601665000000004,70000000,5.5,841
521170825,56.747978,145000000,6.7,1603
694713380,77.77476999999999,145000000,6.8,3972
306941670,61.788035,145000000,7.1,1922
202026112,25.159167999999998,100000000,5.9,627
456758981,52.341226,140000000,7.3,1895
268031828,101.599427,140000000,5.6,1921
385680446,73.61680799999999,150000000,7.4,4518
821708551,82.502566,139000000,6.8,5265
609123048,100.21391,145000000,7.6,3106
150680864,56.257249,140000000,5.3,1277
76932943,17.88953,135000000,4.9,331
185258983,64.798873,130000000,7.0,2811
285444603,24.855701,140000000,6.3,767
245360480,34.981698,137000000,5.3,1533
371876278,59.325589,130000000,5.4,3025
119269486,21.605567999999998,130000000,5.7,434
85131830,26.074907999999997,137000000,5.9,433
370569774,74.50624599999999,140000000,6.6,7047
361832400,39.604363,135000000,6.0,862
212011111,36.973031,150000000,6.9,790
829000000,99.687084,120000000,6.1,2553
150406466,17.7735,130000000,5.8,373
163712074,62.898336,150000000,6.1,3021
183345589,44.19092,140000000,6.0,1000
532950503,100.635882,135000000,7.3,6396
282570682,44.765377,135000000,6.1,1074
245724603,29.913529999999998,135000000,6.6,2051
373552094,84.366984,132000000,6.5,1346
442824138,45.381501,70000000,7.3,2888
631744560,84.68964799999999,130000000,6.9,3145
519311965,120.09361000000001,130000000,7.0,5880
847423452,76.310119,130000000,7.4,6495
368871007,63.473086,135000000,6.8,1519
591739379,48.572726,132000000,6.2,2322
273339556,38.068736,130000000,6.3,1564
554987477,20.678787,130000000,6.4,451
293329073,48.829437,110000000,6.2,2093
362637473,46.115758,125000000,5.6,2350
371940071,89.938296,130000000,6.7,2061
789804554,79.679601,130000000,7.7,5877
